ID;Mandante;Chutes;Chutes a gol;Posse de bola;Passes;Precisão de passe;Faltas;Cartões amarelos;Cartões vermelhos;Impedimentos;Escanteios;;;;
6223;1;11;0;55.0;476;;14;2;0;3;5;;;;
6223;0;9;0;45.0;391;;22;2;0;0;6;;;;
6224;1;11;0;47.0;481;;7;0;0;1;3;;;;
6224;0;12;0;53.0;542;;16;0;0;2;1;;;;
6228;1;17;0;69.0;619;;10;1;0;2;10;;;;
6228;0;11;0;31.0;282;;18;0;0;1;4;;;;
6225;1;13;0;36.0;313;;12;4;0;1;3;;;;
6225;0;12;0;64.0;538;;8;3;1;2;7;;;;
6231;1;13;0;51.0;406;;16;3;0;2;4;;;;
6231;0;5;0;49.0;407;;13;2;2;4;2;;;;
6232;1;17;0;59.0;538;;14;1;0;1;7;;;;
6232;0;16;0;41.0;364;;12;3;0;1;2;;;;
6230;1;9;0;41.0;284;;19;1;0;8;8;;;;
6230;0;10;0;59.0;429;;13;3;0;1;6;;;;
6236;1;9;0;46.0;374;;19;3;0;0;5;;;;
6236;0;11;0;54.0;447;;17;3;0;2;0;;;;
6233;1;25;0;58.0;587;;12;1;0;3;6;;;;
6233;0;3;0;42.0;437;;13;1;0;1;1;;;;
6239;1;11;4;46.0;320;;26;3;0;3;3;;;;
6239;0;20;8;54.0;379;;15;2;0;5;4;;;;
6238;1;15;0;47.0;430;;10;1;0;0;8;;;;
6238;0;8;0;53.0;491;;12;3;0;2;0;;;;
6235;1;16;0;39.0;387;;12;2;0;0;3;;;;
6235;0;12;0;61.0;590;;7;1;0;6;6;;;;
6237;1;22;0;44.0;277;;25;4;0;2;10;;;;
6237;0;9;0;56.0;364;;15;2;0;2;5;;;;
6234;1;18;0;56.0;472;;13;1;0;5;7;;;;
6234;0;11;0;44.0;386;;12;3;0;2;2;;;;
6240;1;17;0;62.0;490;;11;2;0;3;7;;;;
6240;0;12;0;38.0;313;;19;4;0;0;1;;;;
6241;1;16;0;47.0;496;;16;4;0;2;3;;;;
6241;0;20;0;53.0;551;;11;0;0;1;7;;;;
6242;1;12;0;49.0;385;;13;5;0;2;7;;;;
6242;0;11;0;51.0;399;;15;5;0;1;6;;;;
6245;1;14;0;36.0;290;;14;2;0;2;5;;;;
6245;0;14;0;64.0;516;;12;2;0;1;8;;;;
6248;1;15;0;57.0;465;;9;0;0;3;3;;;;
